FID,BUILDINGID,FACILITYKE,SHORTNAME,LONGNAME,FLOORCOUNT,x,y
508, , , , ,0,-119.878275095000010,34.408075360799998
509, , , , ,0,-119.878301859000000,34.408001603400002
510, , , , ,0,-119.878027567000000,34.408231811599997
511, , , , ,0,-119.878093385000000,34.407771273999998
512, , , , ,0,-119.869163411000000,34.418077234700000
513, , , , ,0,-119.868976982000010,34.418044569000003
514, , , , ,0,-119.869410708999990,34.417981946600001
515, , , , ,0,-119.851269216000010,34.412009826000002
516, , , , ,0,-119.875640974000010,34.411073392600002
517, ,406, ,Chicano Students Center,2,-119.844377317000000,34.414198253899997
